Expiration,K1,K2,Width,Call Buy (Ask),Call Sell (Bid),Put Buy (Ask),Put Sell (Bid),Cost,Payoff,Profit,Return
2025-04-04,505.0,515.0,10,7.91,1.75,4.85,0.78,10.23,10.0,-0.23000000000000043,-0.022482893450635425
2025-04-04,500.0,520.0,20,12.81,0.67,8.73,0.31,20.56,20.0,-0.5599999999999987,-0.02723735408560305
2025-04-04,495.0,525.0,30,17.11,0.24,12.72,0.12,29.47,30.0,0.5300000000000011,0.017984390906006148
2025-04-04,490.0,530.0,40,23.24,0.1,18.14,0.06,41.21999999999999,40.0,-1.2199999999999918,-0.02959728287239185
2025-04-08,500.0,520.0,20,17.71,5.61,13.55,5.21,20.44,20.0,-0.4400000000000013,-0.02152641878669282
2025-04-11,505.0,515.0,10,18.56,12.09,14.6,10.47,10.599999999999996,10.0,-0.5999999999999961,-0.056603773584905315
2025-04-11,500.0,520.0,20,21.84,9.36,16.87,8.92,20.43,20.0,-0.4299999999999997,-0.02104747919725892
2025-04-11,495.0,525.0,30,25.37,7.08,19.82,7.7,30.41,30.0,-0.41000000000000014,-0.013482407102926674
2025-04-11,490.0,530.0,40,29.31,5.2,22.59,6.41,40.28999999999999,40.0,-0.28999999999999204,-0.0071978158351946415
2025-04-17,505.0,515.0,10,21.37,14.96,17.14,12.91,10.640000000000004,10.0,-0.6400000000000041,-0.06015037593984999
2025-04-17,500.0,520.0,20,25.17,12.21,19.13,11.45,20.639999999999997,20.0,-0.639999999999997,-0.031007751937984357
2025-04-17,495.0,525.0,30,28.65,9.82,21.77,10.25,30.35,30.0,-0.3500000000000014,-0.011532125205930853
2025-04-17,490.0,530.0,40,32.26,7.74,24.78,9.02,40.28,40.0,-0.28000000000000114,-0.006951340615690197
2025-04-25,505.0,515.0,10,23.39,16.98,18.74,14.74,10.409999999999995,10.0,-0.4099999999999948,-0.03938520653218012
2025-04-25,500.0,520.0,20,26.8,14.12,20.99,13.33,20.340000000000003,20.0,-0.3400000000000034,-0.016715830875123076
2025-04-25,495.0,525.0,30,30.33,11.63,23.6,11.68,30.619999999999997,30.0,-0.6199999999999974,-0.02024820378837353
2025-04-25,490.0,530.0,40,34.04,9.42,26.65,10.37,40.9,40.0,-0.8999999999999986,-0.02200488997555009
2025-04-30,505.0,515.0,10,24.37,17.99,19.64,15.58,10.440000000000007,10.0,-0.4400000000000066,-0.042145593869732406
2025-04-30,500.0,520.0,20,27.72,15.27,21.52,14.0,19.97,20.0,0.030000000000001137,0.0015022533800701622
2025-04-30,495.0,525.0,30,31.26,12.6,24.25,12.41,30.500000000000004,30.0,-0.5000000000000036,-0.016393442622950935
2025-04-30,490.0,530.0,40,35.07,10.31,27.46,11.17,41.05,40.0,-1.0499999999999972,-0.025578562728379956
2025-05-02,505.0,515.0,10,25.07,18.7,20.1,16.01,10.46,10.0,-0.46000000000000085,-0.043977055449330865
2025-05-02,500.0,520.0,20,28.4,15.89,22.35,14.57,20.29,20.0,-0.28999999999999915,-0.01429275505174959
2025-05-02,495.0,525.0,30,32.16,13.42,24.79,12.8,30.729999999999993,30.0,-0.7299999999999933,-0.02375528799218983
2025-05-02,490.0,530.0,40,35.91,10.86,27.67,11.67,41.05,40.0,-1.0499999999999972,-0.025578562728379956
2025-05-09,500.0,520.0,20,30.33,17.33,23.44,15.63,20.809999999999995,20.0,-0.8099999999999952,-0.03892359442575662
2025-05-09,495.0,525.0,30,33.55,14.74,25.46,14.05,30.219999999999995,30.0,-0.2199999999999953,-0.0072799470549303556
2025-05-16,505.0,515.0,10,28.06,21.84,22.23,18.14,10.309999999999999,10.0,-0.3099999999999987,-0.030067895247332565
2025-05-16,500.0,520.0,20,31.39,18.78,24.44,16.51,20.539999999999996,20.0,-0.5399999999999956,-0.02629016553067165
2025-05-16,495.0,525.0,30,34.75,16.09,26.53,15.01,30.18,30.0,-0.17999999999999972,-0.0059642147117296125
2025-05-16,490.0,530.0,40,38.67,13.81,29.71,13.62,40.949999999999996,40.0,-0.9499999999999957,-0.023199023199023096
2025-05-30,505.0,515.0,10,30.79,23.89,23.95,19.72,11.129999999999995,10.0,-1.1299999999999955,-0.1015274034141955
2025-05-30,500.0,520.0,20,33.84,21.34,25.89,18.19,20.2,20.0,-0.1999999999999993,-0.009900990099009866
2025-05-30,495.0,525.0,30,37.26,18.38,28.13,16.45,30.560000000000006,30.0,-0.5600000000000058,-0.018324607329843118
2025-05-30,490.0,530.0,40,40.79,15.89,30.97,15.13,40.73999999999999,40.0,-0.7399999999999878,-0.01816396661757457
2025-06-20,505.0,515.0,10,33.45,26.98,26.24,22.39,10.319999999999993,10.0,-0.3199999999999932,-0.031007751937983857
2025-06-20,500.0,520.0,20,36.78,24.13,28.34,20.55,20.44000000000001,20.0,-0.4400000000000084,-0.02152641878669316
2025-06-20,495.0,525.0,30,40.17,21.27,30.86,18.91,30.850000000000005,30.0,-0.850000000000005,-0.027552674230146023
2025-06-20,490.0,530.0,40,44.67,18.74,33.31,17.33,41.91000000000001,40.0,-1.9100000000000108,-0.04557384872345527
